Date,Close
3/3/2015 16:00:00,116.07
3/4/2015 16:00:00,114.76
3/5/2015 16:00:00,115.91
3/6/2015 16:00:00,114.45
3/9/2015 16:00:00,115.25
3/10/2015 16:00:00,112.56
3/11/2015 16:00:00,113.07
3/12/2015 16:00:00,116.1
3/13/2015 16:00:00,114.82
3/16/2015 16:00:00,116.5
3/17/2015 16:00:00,115.58
3/18/2015 16:00:00,116.08
3/19/2015 16:00:00,115.16
3/20/2015 16:00:00,117.49
3/23/2015 16:00:00,116.07
3/24/2015 16:00:00,116.15
3/25/2015 16:00:00,113.68
3/26/2015 16:00:00,112.37
3/27/2015 16:00:00,113.86
3/30/2015 16:00:00,114.63
3/31/2015 16:00:00,113.61
4/1/2015 16:00:00,113.13
4/2/2015 16:00:00,114.54
4/6/2015 16:00:00,114.95
4/7/2015 16:00:00,114.3
4/8/2015 16:00:00,115.59
4/9/2015 16:00:00,114.57
4/10/2015 16:00:00,115.24
4/13/2015 16:00:00,114.44
4/14/2015 16:00:00,114.05
4/15/2015 16:00:00,113.45
4/16/2015 16:00:00,113.37
4/17/2015 16:00:00,112.1
4/20/2015 16:00:00,112.86
4/21/2015 16:00:00,113.17
4/22/2015 16:00:00,112.99
4/23/2015 16:00:00,113.96
4/24/2015 16:00:00,113.7
4/27/2015 16:00:00,111.39
4/28/2015 16:00:00,110.58
4/29/2015 16:00:00,108.71
4/30/2015 16:00:00,106.98
5/1/2015 16:00:00,109.55
5/4/2015 16:00:00,110.06
5/5/2015 16:00:00,108.06
5/6/2015 16:00:00,108.31
5/7/2015 16:00:00,110.04
5/8/2015 16:00:00,112.47
5/11/2015 16:00:00,111.9
5/12/2015 16:00:00,112.52
5/13/2015 16:00:00,111.19
5/14/2015 16:00:00,111.94
5/15/2015 16:00:00,113.35
5/18/2015 16:00:00,114.33
5/19/2015 16:00:00,112.34
5/20/2015 16:00:00,112.1
5/21/2015 16:00:00,112.01
5/22/2015 16:00:00,112.16
5/26/2015 16:00:00,110.93
5/27/2015 16:00:00,112.16
5/28/2015 16:00:00,112.19
5/29/2015 16:00:00,111.42
6/1/2015 16:00:00,111.67
6/2/2015 16:00:00,111.59
6/3/2015 16:00:00,113.16
6/4/2015 16:00:00,111.46
6/5/2015 16:00:00,110.37
6/8/2015 16:00:00,109.93
6/9/2015 16:00:00,109.53
6/10/2015 16:00:00,110.98
6/11/2015 16:00:00,111.29
6/12/2015 16:00:00,110.6
6/15/2015 16:00:00,110.01
6/16/2015 16:00:00,110.23
6/17/2015 16:00:00,110.47
6/18/2015 16:00:00,111.85
6/19/2015 16:00:00,112.43
6/22/2015 16:00:00,113.07
6/23/2015 16:00:00,113.18
6/24/2015 16:00:00,112.35
6/25/2015 16:00:00,112.24
6/26/2015 16:00:00,112.6
6/29/2015 16:00:00,110.54
6/30/2015 16:00:00,111.13
7/1/2015 16:00:00,112.07
7/2/2015 16:00:00,111.49
7/6/2015 16:00:00,111.32
7/7/2015 16:00:00,112.4
7/8/2015 16:00:00,111
7/9/2015 16:00:00,111.38
7/10/2015 16:00:00,113.1
7/13/2015 16:00:00,114.9
7/14/2015 16:00:00,115.36
7/15/2015 16:00:00,115.58
7/16/2015 16:00:00,114.73
7/17/2015 16:00:00,114.47
7/20/2015 16:00:00,113.41
